name,MeanDecreaseAccuracy,MeanDecreaseGini,Gain,Cover,Frequency,Importance,source,target,support,confidence,coverage,lift,count,category,NGS_sample_title,FE-control 1,FE-control 2,FE-control 3,FE-control 4,FE-5% compost 1,FE-5% compost 2,FE-5% compost 3,FE-5% compost 4,CW12-control,CW12-control.1,CW12-control.2,CW12-control.3,CW12-compost ex,CW12-compost ex.1,CW12-compost ex.2,CW12-compost ex.3,PK-control,PK-control.1,PK-control.2,PK-control.3,PK-compost,PK-compost.1,PK-compost.2,PK-compost.3
Other_Tyramine,3.94494425,0.423576981,0.001083056,0.006570256,0.011235955,0.001083056,{Test=1},{Other_Tyramine=0},0.416666667,0.833333333,0.5,1.666666667,10,Tyramine,Other,0.117651176,0.041063654,0.202613529,0.1281987,0.079523824,0.1965483,0.074535882,0.059892059,2.520549057,0.037345982,0.164015882,0.222085755,0.072585,0.087246429,0.0415662,0.005543491,0.598012846,0.222069808,0.239360556,0.910642045,0.16462375,0.073481121,0.067542295,0.119218393
Amino_acid_Glutamic_acid,2.632818403,0.424743273,0.005850466,0.010615401,0.011235955,0.005850466,{Test=1},{Amino.acid_Glutamic_acid=0},0.375,0.75,0.5,1.5,9,Glutamic_acid,Amino_acid,41.73374382,9.792631154,25.23884588,42.2009334,13.05834412,35.0270973,0.759226471,0.921321176,9.20267066,3.553327232,6.779743824,6.031639811,0.454937885,1.261384286,1.6681131,0.106483019,2.635119692,3.138327981,5.177660278,3.075700227,3.0020785,6.403278879,3.575149426,2.527986964
Other_acid_5_Aminovaleric_acid,4.494049767,0.570957478,0.041278337,0.072383341,0.078651685,0.041278337,{Test=1},{Other_acid_5_Aminovaleric_acid=0},0.375,0.75,0.5,1.5,9,5_Aminovaleric_acid,Other_acid,1.273717059,1.078354327,1.488131765,1.3388088,0.906711176,0.5161266,0.194752353,0.217173529,11.67971462,0.041078036,5.430631765,3.424123585,1.137498462,1.65927,0.0396519,0.013967547,4.845362077,2.751086827,2.194621111,3.649766818,4.50031875,3.550085948,7.116761311,2.508644464
Other_acid_2_Aminoisobutyric_acid,4.847936803,0.651071354,0.104150972,0.083801292,0.06741573,0.104150972,{Test=1},{Other_acid_2_Aminoisobutyric_acid=1},0.375,0.75,0.5,1.5,9,2_Aminoisobutyric_acid,Other_acid,0.0,0.021227596,0.0,0.0,0.036272353,0.0,0.149658529,0.131970294,0.293178962,0.307415089,0.393378824,0.501683491,1.074088269,0.444291964,0.6444264,1.013601226,8.507432308,10.36636904,9.737486111,10.61265091,12.95484225,8.425676379,327.1615399,11.13756402
SCFAs_Butyrate,3.925593666,0.49575412,0.118149889,0.103721277,0.08988764,0.118149889,{Test=1},{SCFAs_Butyrate=1},0.333333333,0.666666667,0.5,1.454545455,8,Butyrate,SCFAs,1.67,3.216,1.443,2.94,3.506,11.547,0.738,4.312,0.0,0.0,0.0,293.306,538.532,0.0,491.069,0.0,24094.279,23597.751,28847.725,24935.013,27538.641,35702.044,46483.743,29572.128
Other_acid_3_Hydroxyglutaric_acid,3.362837061,0.681095999,0.117235012,0.102515042,0.08988764,0.117235012,{Test=1},{Other_acid_3_Hydroxyglutaric_acid=0},0.375,0.75,0.5,1.384615385,9,3_Hydroxyglutaric_acid,Other_acid,0.0,0.014722212,0.001893824,0.0022953,0.0,0.0,0.0,0.0,1.471082547,1.197727232,1.301171765,1.355095755,1.279636731,1.226156518,1.3941864,1.201968113,0.941658923,1.161659423,1.101782222,0.918180909,1.00132825,1.008015,0.961373115,1.085021518
Other_acid_2_Ketoglutaric_acid,6.217936856,0.921958845,0.180347163,0.143099278,0.134831461,0.180347163,{Test=1},{Other_acid_2_Ketoglutaric_acid=0},0.458333333,0.916666667,0.5,1.375,11,2_Ketoglutaric_acid,Other_acid,0.019242059,0.088650288,0.028217941,0.0534042,0.017422647,0.0207588,0.024537647,0.044208529,0.131265849,0.212183571,0.455746176,0.89157,0.060118846,0.075294911,0.0821595,0.07679434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other_Glycerol,3.476128428,0.52165865,0.000801934,0.005349257,0.011235955,0.000801934,{Test=1},{Other_Glycerol=1},0.333333333,0.666666667,0.5,1.333333333,8,Glycerol,Other,161.8051526,152.0460363,160.3003953,175.1840751,172.8031159,159.8584701,159.5643279,195.3681374,5.651475283,0.0,1.630113824,0.0,3.071190577,0.0,2.1310272,1.717007547,4.477000385,9.253237212,3.868912778,14.07688068,11.30620825,22.21694767,9.095319344,28.64848473
genus_Lactobacillus,2.562258982,0.355560957,0.001227447,0.006080072,0.011235955,0.001227447,{Test=1},{genus_Lactobacillus=1},0.333333333,0.666666667,0.5,1.333333333,8,Lactobacillus,genus,16.90042076,5.088717777,6.180641184,20.67851373,10.75544731,10.14627351,1.007194245,17.35307313,59.87290059,20.99232838,11.47436713,5.458124553,72.53482505,32.90764791,32.60521211,41.6387545,8.807761042,17.97857476,13.01474326,24.450881,52.41400121,48.52978778,20.40912297,54.27101968
Other_Glycyl_Glycine,2.080604563,0.418674521,0.030464954,0.054797817,0.056179775,0.030464954,{Test=1},{Other_Glycyl_Glycine=0},0.333333333,0.666666667,0.5,1.333333333,8,Glycyl_Glycine,Other,0.009179706,0.0049875,0.01618,0.0144552,0.004097353,0.0104151,0.003615294,0.004079706,0.494831604,0.024244018,0.075034706,0.062180943,0.062448173,0.074251071,0.0552564,0.0,33.94963223,8.162875385,1.218299722,31.44885591,3.4528705,3.305084483,2.463632459,10.27163571
Other_acid_Threonic_acid,3.673894568,0.508316825,0.001099016,0.005860638,0.011235955,0.001099016,{Test=1},{Other_acid_Threonic_acid=0},0.333333333,0.666666667,0.5,1.333333333,8,Threonic_acid,Other_acid,0.029195882,0.012404135,0.026692941,0.0459399,0.020099706,0.0211125,0.020817941,0.059331765,0.023734245,0.059230446,0.007553529,0.285374717,0.014329038,0.305269286,0.0894195,0.017491132,0.003868385,0.004911058,0.0,0.003561591,0.0,0.003349914,0.001553361,0.002829107
Other_Threitol,5.088612633,0.683302184,0.018557418,0.02973632,0.033707865,0.018557418,{Test=1},{Other_Threitol=1},0.333333333,0.666666667,0.5,1.333333333,8,Threitol,Other,0.036876765,0.037615385,0.040568824,0.0456105,0.047848824,0.0413649,0.048411176,0.063316176,0.53518783,0.390595982,0.089959412,0.711108396,0.446380962,0.916174286,0.6168219,0.426226981,0.021993462,0.018982788,0.0066775,0.016475227,0.0227945,0.019150345,0.008408115,0.026441786
